bars_held,entry_at,entry_price,exit_at,exit_price,higher_timeframe_agreement,higher_timeframe_bias,market_structure,r_multiple,realized_pnl,regime,side,stance,status,stop_loss,symbol,target,timeframe
3,2021-08-07T12:10:00,36369.8984,2021-08-07T12:25:00,36369.8984,aligned,bullish,HH_HL,0.6,608.64,trend_aligned,buy,long_bias,trailed,35355.5,BANKNIFTY,38398.695199999995,5m
3303,2021-08-07T15:15:00,35711.25,2021-10-18T09:15:00,39759.3008,aligned,bearish,LH_LL,-0.4,-1619.22,trend_aligned,sell,short_bias,stopped,39759.3008,BANKNIFTY,27615.148400000005,5m
303,2021-10-18T09:50:00,39614.6016,2021-10-22T09:45:00,40246.0508,aligned,bullish,HH_HL,1.179,514.27,trend_aligned,buy,long_bias,trailed,39178.4492,BANKNIFTY,40486.9064,5m
56,2021-10-22T11:25:00,40373.75,2021-10-25T09:45:00,40760.5,aligned,bullish,HH_HL,1.308,285.74,trend_aligned,buy,long_bias,trailed,40155.3516,BANKNIFTY,40810.5468,5m
14,2021-10-25T14:45:00,41166.8984,2021-10-26T09:35:00,41257.8516,aligned,bullish,HH_HL,0.867,118.07,trend_aligned,buy,long_bias,trailed,41030.75,BANKNIFTY,41439.195199999995,5m
1,2021-10-26T10:15:00,41180.0,2021-10-26T10:20:00,41059.1016,aligned,bullish,HH_HL,-0.4,-48.36,trend_aligned,buy,long_bias,stopped,41059.1016,BANKNIFTY,41421.7968,5m
2,2021-10-26T11:10:00,40999.1016,2021-10-26T11:20:00,40867.8984,aligned,bullish,HH_HL,-0.4,-52.48,trend_aligned,buy,long_bias,stopped,40867.8984,BANKNIFTY,41261.50800000001,5m
5,2021-10-26T11:50:00,40931.3516,2021-10-26T12:15:00,41138.0,aligned,bullish,HH_HL,1.409,143.98,trend_aligned,buy,long_bias,trailed,40829.1484,BANKNIFTY,41135.75800000001,5m
6,2021-10-26T12:50:00,40992.75,2021-10-26T13:20:00,41102.75,aligned,bullish,HH_HL,0.869,142.16,trend_aligned,buy,long_bias,trailed,40829.1484,BANKNIFTY,41319.9532,5m
72,2021-10-26T14:35:00,41233.3516,2021-10-27T14:15:00,41054.3008,aligned,bullish,HH_HL,-0.4,-71.62,trend_aligned,buy,long_bias,stopped,41054.3008,BANKNIFTY,41591.45320000001,5m
