bars_held,entry_at,entry_price,exit_at,exit_price,higher_timeframe_agreement,higher_timeframe_bias,market_structure,r_multiple,realized_pnl,regime,side,stance,status,stop_loss,symbol,target,timeframe
29,2021-11-17T13:10:00,38212.5,2021-11-18T09:15:00,38039.6016,aligned,bearish,LH_LL,1.193,186.31,trend_aligned,sell,short_bias,trailed,38368.6992,BANKNIFTY,37900.101599999995,5m
14,2021-11-18T09:40:00,38065.3984,2021-11-18T10:50:00,37895.3008,aligned,bearish,LH_LL,1.156,193.82,trend_aligned,sell,short_bias,trailed,38233.1016,BANKNIFTY,37729.99199999999,5m
6,2021-11-18T11:55:00,37868.6484,2021-11-18T12:25:00,37819.0,aligned,bearish,LH_LL,0.963,89.91,trend_aligned,sell,short_bias,trailed,37962.0508,BANKNIFTY,37681.8436,5m
3,2021-11-18T13:05:00,37876.6484,2021-11-18T13:20:00,37956.6992,aligned,bearish,LH_LL,-0.4,-32.02,trend_aligned,sell,short_bias,stopped,37956.6992,BANKNIFTY,37716.54679999999,5m
4,2021-11-18T15:15:00,37974.75,2021-11-22T09:15:00,38151.75,aligned,bearish,LH_LL,-0.4,-70.8,trend_aligned,sell,short_bias,stopped,38151.75,BANKNIFTY,37620.75,5m
24,2021-11-22T12:40:00,37215.6016,2021-11-22T14:40:00,36899.5,aligned,bearish,LH_LL,1.313,295.0,trend_aligned,sell,short_bias,trailed,37440.3516,BANKNIFTY,36766.1016,5m
32,2021-11-23T09:25:00,37030.0,2021-11-23T12:05:00,37258.3984,aligned,bearish,LH_LL,-0.4,-91.36,trend_aligned,sell,short_bias,stopped,37258.3984,BANKNIFTY,36573.2032,5m
16,2021-11-23T12:30:00,37064.8008,2021-11-23T13:50:00,37279.0508,aligned,bearish,LH_LL,-0.4,-85.7,trend_aligned,sell,short_bias,stopped,37279.0508,BANKNIFTY,36636.3008,5m
15,2021-11-23T14:30:00,37328.6484,2021-11-24T09:25:00,37447.4492,aligned,bearish,LH_LL,-0.4,-47.52,trend_aligned,sell,short_bias,stopped,37447.4492,BANKNIFTY,37091.04679999999,5m
30,2021-11-26T11:30:00,36438.6992,2021-11-26T14:00:00,36191.4492,aligned,bearish,LH_LL,1.245,248.83,trend_aligned,sell,short_bias,trailed,36638.6016,BANKNIFTY,36038.894400000005,5m
14,2021-11-26T14:25:00,36317.75,2021-11-29T09:15:00,36071.3984,aligned,bearish,LH_LL,1.713,175.3,trend_aligned,sell,short_bias,trailed,36420.1016,BANKNIFTY,36113.0468,5m
2,2021-11-29T11:05:00,35946.3516,2021-11-29T11:15:00,36022.4492,aligned,bearish,LH_LL,-0.4,-30.44,trend_aligned,sell,short_bias,stopped,36022.4492,BANKNIFTY,35794.1564,5m
3,2021-11-29T11:50:00,36049.3516,2021-11-29T12:05:00,36184.75,aligned,bearish,LH_LL,-0.4,-54.16,trend_aligned,sell,short_bias,stopped,36184.75,BANKNIFTY,35778.554800000005,5m
9,2021-11-29T12:30:00,36120.6016,2021-11-29T13:15:00,36068.6016,aligned,bearish,LH_LL,0.974,90.44,trend_aligned,sell,short_bias,trailed,36213.4492,BANKNIFTY,35934.9064,5m
18,2021-11-29T14:05:00,36214.6992,2021-11-30T09:15:00,35991.8516,aligned,bearish,LH_LL,1.419,189.0,trend_aligned,sell,short_bias,trailed,36347.8516,BANKNIFTY,35948.394400000005,5m
36,2021-11-30T12:35:00,36120.1992,2021-12-01T09:15:00,35671.1016,aligned,bearish,LH_LL,1.188,487.33,trend_aligned,sell,short_bias,trailed,36530.4492,BANKNIFTY,35299.6992,5m
18,2021-12-01T09:40:00,35992.9492,2021-12-01T11:10:00,36203.9492,aligned,bearish,LH_LL,-0.4,-84.4,trend_aligned,sell,short_bias,stopped,36203.9492,BANKNIFTY,35570.9492,5m
6,2021-12-02T14:05:00,36311.1484,2021-12-02T14:35:00,36426.75,aligned,bearish,LH_LL,-0.4,-46.24,trend_aligned,sell,short_bias,stopped,36426.75,BANKNIFTY,36079.945199999995,5m
11,2021-12-03T15:10:00,36204.4492,2021-12-06T09:45:00,36053.3984,aligned,bearish,LH_LL,1.132,179.18,trend_aligned,sell,short_bias,trailed,36362.8008,BANKNIFTY,35887.746000000014,5m
5,2021-12-06T10:15:00,36182.5508,2021-12-06T10:40:00,36290.6016,aligned,bearish,LH_LL,-0.4,-43.22,trend_aligned,sell,short_bias,stopped,36290.6016,BANKNIFTY,35966.44919999999,5m
54,2021-12-06T11:05:00,36186.3516,2021-12-07T09:15:00,35756.75,aligned,bearish,LH_LL,1.836,290.49,trend_aligned,sell,short_bias,trailed,36344.5508,BANKNIFTY,35869.95320000001,5m
22,2021-12-16T13:05:00,36651.0508,2021-12-16T14:55:00,36503.1016,aligned,bearish,LH_LL,1.38,129.6,trend_aligned,sell,short_bias,trailed,36744.9492,BANKNIFTY,36463.253999999986,5m
23,2021-12-16T15:20:00,36591.6992,2021-12-17T10:55:00,35889.6992,aligned,bearish,LH_LL,3.281,364.01,trend_aligned,sell,short_bias,trailed,36702.6484,BANKNIFTY,36369.80080000001,5m
8,2021-12-17T12:50:00,35847.5508,2021-12-17T13:30:00,35928.6016,aligned,bearish,LH_LL,-0.4,-32.42,trend_aligned,sell,short_bias,stopped,35928.6016,BANKNIFTY,35685.44919999999,5m
12,2021-12-17T14:00:00,35900.9492,2021-12-17T15:00:00,35665.1016,aligned,bearish,LH_LL,2.51,134.54,trend_aligned,sell,short_bias,trailed,35954.5508,BANKNIFTY,35793.746000000014,5m
18,2021-12-21T09:30:00,34677.1016,2021-12-21T11:00:00,34963.9492,aligned,bearish,LH_LL,-0.4,-114.74,trend_aligned,sell,short_bias,stopped,34963.9492,BANKNIFTY,34103.4064,5m
5,2021-12-21T11:25:00,34894.1016,2021-12-21T11:50:00,35008.8516,aligned,bearish,LH_LL,-0.4,-45.9,trend_aligned,sell,short_bias,stopped,35008.8516,BANKNIFTY,34664.6016,5m
3,2021-12-21T12:15:00,34979.5508,2021-12-21T12:30:00,34964.8984,aligned,bearish,LH_LL,0.834,58.43,trend_aligned,sell,short_bias,trailed,35049.6484,BANKNIFTY,34839.355599999995,5m
22,2021-12-21T12:55:00,34981.8516,2021-12-21T14:45:00,34587.75,aligned,bearish,LH_LL,3.075,208.49,trend_aligned,sell,short_bias,trailed,35049.6484,BANKNIFTY,34846.25800000001,5m
4,2021-12-21T15:15:00,34622.1992,2021-12-22T09:15:00,34928.8984,aligned,bearish,LH_LL,-0.4,-122.68,trend_aligned,sell,short_bias,stopped,34928.8984,BANKNIFTY,34008.80080000001,5m
59,2021-12-22T10:05:00,34849.75,2021-12-22T15:00:00,35011.6992,aligned,bearish,LH_LL,-0.4,-64.78,trend_aligned,sell,short_bias,stopped,35011.6992,BANKNIFTY,34525.851599999995,5m
28,2021-12-24T11:10:00,34743.0508,2021-12-24T13:30:00,34936.8008,aligned,bearish,LH_LL,-0.4,-77.5,trend_aligned,sell,short_bias,stopped,34936.8008,BANKNIFTY,34355.5508,5m
40,2021-12-27T09:25:00,34573.5508,2021-12-27T12:45:00,35074.8516,aligned,bearish,LH_LL,-0.4,-200.52,trend_aligned,sell,short_bias,stopped,35074.8516,BANKNIFTY,33570.94919999999,5m
11,2021-12-30T12:00:00,34958.1992,2021-12-30T12:55:00,35044.3984,aligned,bearish,LH_LL,-0.4,-34.48,trend_aligned,sell,short_bias,stopped,35044.3984,BANKNIFTY,34785.80080000001,5m
57,2022-01-10T10:50:00,38117.8008,2022-01-11T09:15:00,38336.25,aligned,bullish,HH_HL,1.246,219.53,trend_aligned,buy,long_bias,trailed,37941.6016,BANKNIFTY,38470.19919999999,5m
6,2022-01-11T09:45:00,38197.75,2022-01-11T10:15:00,38073.0,aligned,bullish,HH_HL,-0.4,-49.9,trend_aligned,buy,long_bias,stopped,38073.0,BANKNIFTY,38447.25,5m
59,2022-01-11T10:40:00,38244.6484,2022-01-12T09:25:00,38682.6992,aligned,bullish,HH_HL,1.578,333.99,trend_aligned,buy,long_bias,trailed,38032.9492,BANKNIFTY,38668.04679999999,5m
38,2022-01-12T11:05:00,38757.75,2022-01-12T14:15:00,38621.0508,aligned,bullish,HH_HL,-0.4,-54.68,trend_aligned,buy,long_bias,stopped,38621.0508,BANKNIFTY,39031.148400000005,5m
6,2022-01-13T09:35:00,38583.8008,2022-01-13T10:05:00,38509.6992,aligned,bullish,HH_HL,-0.4,-29.64,trend_aligned,buy,long_bias,stopped,38509.6992,BANKNIFTY,38732.003999999986,5m
30,2022-01-13T10:50:00,38536.0,2022-01-13T13:20:00,38405.5508,aligned,bullish,HH_HL,-0.4,-52.18,trend_aligned,buy,long_bias,stopped,38405.5508,BANKNIFTY,38796.898400000005,5m
10,2022-01-18T14:00:00,38681.8008,2022-01-18T14:50:00,38474.6016,aligned,bullish,HH_HL,-0.4,-82.88,trend_aligned,buy,long_bias,stopped,38474.6016,BANKNIFTY,39096.19919999999,5m
4,2022-02-01T11:05:00,38693.1484,2022-02-01T11:25:00,38567.1016,aligned,bullish,HH_HL,-0.4,-50.42,trend_aligned,buy,long_bias,stopped,38567.1016,BANKNIFTY,38945.24199999999,5m
9,2022-02-01T12:15:00,38532.6016,2022-02-01T13:00:00,38238.6484,aligned,bullish,HH_HL,-0.4,-117.58,trend_aligned,buy,long_bias,stopped,38238.6484,BANKNIFTY,39120.50800000001,5m
28,2022-02-02T12:35:00,39199.1484,2022-02-02T14:55:00,39323.1016,aligned,bullish,HH_HL,1.158,140.78,trend_aligned,buy,long_bias,trailed,39077.5508,BANKNIFTY,39442.3436,5m
1,2022-02-03T09:40:00,39252.0,2022-02-03T09:45:00,39190.3984,aligned,bullish,HH_HL,-0.4,-24.64,trend_aligned,buy,long_bias,stopped,39190.3984,BANKNIFTY,39375.2032,5m
3,2022-02-03T10:10:00,39215.6016,2022-02-03T10:25:00,39156.8516,aligned,bullish,HH_HL,-0.4,-23.5,trend_aligned,buy,long_bias,stopped,39156.8516,BANKNIFTY,39333.1016,5m
12,2022-02-03T10:50:00,39242.9492,2022-02-03T11:50:00,39152.9492,aligned,bullish,HH_HL,-0.4,-36.0,trend_aligned,buy,long_bias,stopped,39152.9492,BANKNIFTY,39422.9492,5m
9,2022-02-03T13:00:00,39306.1016,2022-02-03T13:45:00,39133.3516,aligned,bullish,HH_HL,-0.4,-69.1,trend_aligned,buy,long_bias,stopped,39133.3516,BANKNIFTY,39651.6016,5m
9,2022-02-03T14:10:00,39186.1484,2022-02-03T14:55:00,39103.1016,aligned,bullish,HH_HL,-0.4,-33.22,trend_aligned,buy,long_bias,stopped,39103.1016,BANKNIFTY,39352.24199999999,5m
19,2022-02-04T10:10:00,39078.3008,2022-02-04T11:45:00,38862.8516,aligned,bullish,HH_HL,-0.4,-86.18,trend_aligned,buy,long_bias,stopped,38862.8516,BANKNIFTY,39509.19919999999,5m
25,2022-02-10T09:15:00,38624.6484,2022-02-10T11:20:00,39033.1484,aligned,bullish,HH_HL,2.117,253.06,trend_aligned,buy,long_bias,trailed,38505.1016,BANKNIFTY,38863.74199999999,5m
24,2022-02-10T13:15:00,39099.1484,2022-02-10T15:15:00,38965.0508,aligned,bullish,HH_HL,-0.4,-53.64,trend_aligned,buy,long_bias,stopped,38965.0508,BANKNIFTY,39367.3436,5m
9,2022-02-11T09:20:00,38668.0508,2022-02-11T10:05:00,38493.3516,aligned,bullish,HH_HL,-0.4,-69.88,trend_aligned,buy,long_bias,stopped,38493.3516,BANKNIFTY,39017.44919999999,5m
10,2022-02-25T11:30:00,36573.1016,2022-02-25T12:20:00,36484.8516,aligned,bearish,LH_LL,1.089,113.37,trend_aligned,sell,short_bias,trailed,36677.1992,BANKNIFTY,36364.9064,5m
7,2022-02-25T12:50:00,36573.0,2022-02-25T13:25:00,36489.1484,aligned,bearish,LH_LL,1.072,111.69,trend_aligned,sell,short_bias,trailed,36677.1992,BANKNIFTY,36364.601599999995,5m
8,2022-02-25T14:00:00,36475.6016,2022-02-25T14:40:00,36341.5,aligned,bearish,LH_LL,1.116,163.44,trend_aligned,sell,short_bias,trailed,36622.0,BANKNIFTY,36182.804800000005,5m
11,2022-02-25T15:05:00,36456.3008,2022-02-28T09:40:00,35758.3008,aligned,bearish,LH_LL,3.127,367.29,trend_aligned,sell,short_bias,trailed,36573.75,BANKNIFTY,36221.40239999999,5m
2,2022-02-28T11:15:00,35943.3008,2022-02-28T11:25:00,36033.3984,aligned,bearish,LH_LL,-0.4,-36.04,trend_aligned,sell,short_bias,stopped,36033.3984,BANKNIFTY,35763.105599999995,5m
5,2022-02-28T12:10:00,36145.6016,2022-02-28T12:35:00,36251.5508,aligned,bearish,LH_LL,-0.4,-42.38,trend_aligned,sell,short_bias,stopped,36251.5508,BANKNIFTY,35933.70320000001,5m
14,2022-02-28T13:00:00,36120.0508,2022-02-28T14:10:00,36018.1484,aligned,bearish,LH_LL,1.025,152.14,trend_aligned,sell,short_bias,trailed,36268.5508,BANKNIFTY,35823.0508,5m
5,2022-02-28T14:35:00,36105.8008,2022-02-28T15:00:00,36186.6484,aligned,bearish,LH_LL,-0.4,-32.34,trend_aligned,sell,short_bias,stopped,36186.6484,BANKNIFTY,35944.105599999995,5m
19,2022-03-02T11:20:00,35250.6484,2022-03-02T12:55:00,35018.3516,aligned,bearish,LH_LL,1.385,202.61,trend_aligned,sell,short_bias,trailed,35396.8984,BANKNIFTY,34958.1484,5m
13,2022-03-02T13:20:00,35080.4492,2022-03-02T14:25:00,34980.6992,aligned,bearish,LH_LL,1.107,123.79,trend_aligned,sell,short_bias,trailed,35192.3008,BANKNIFTY,34856.746000000014,5m
2,2022-03-02T14:50:00,34999.6016,2022-03-02T15:00:00,35144.4492,aligned,bearish,LH_LL,-0.4,-57.94,trend_aligned,sell,short_bias,stopped,35144.4492,BANKNIFTY,34709.9064,5m
15,2022-03-03T10:30:00,35154.75,2022-03-04T09:25:00,34487.0,aligned,bearish,LH_LL,1.433,560.5,trend_aligned,sell,short_bias,trailed,35545.9492,BANKNIFTY,34372.351599999995,5m
3,2022-03-04T13:10:00,34821.1016,2022-03-04T13:25:00,34998.6484,aligned,bearish,LH_LL,-0.4,-71.02,trend_aligned,sell,short_bias,stopped,34998.6484,BANKNIFTY,34466.00800000001,5m
29,2022-03-04T14:00:00,34788.5508,2022-03-07T10:05:00,32906.6016,aligned,bearish,LH_LL,3.2,983.18,trend_aligned,sell,short_bias,trailed,35095.75,BANKNIFTY,34174.15239999999,5m
4,2022-03-08T14:10:00,32628.75,2022-03-08T14:30:00,32787.1484,aligned,bearish,LH_LL,-0.4,-63.36,trend_aligned,sell,short_bias,stopped,32787.1484,BANKNIFTY,32311.953200000004,5m
38,2022-03-09T09:15:00,33012.1016,2022-03-09T12:25:00,33292.8516,aligned,bearish,LH_LL,-0.4,-112.3,trend_aligned,sell,short_bias,stopped,33292.8516,BANKNIFTY,32450.6016,5m
15,2022-04-08T14:25:00,37742.9492,2022-04-09T11:25:00,38625.3516,aligned,bullish,HH_HL,2.903,475.92,trend_aligned,buy,long_bias,trailed,37579.0,BANKNIFTY,38070.84760000001,5m
13,2022-04-11T13:40:00,37800.5,2022-04-11T14:45:00,37705.25,aligned,bullish,HH_HL,-0.4,-38.1,trend_aligned,buy,long_bias,stopped,37705.25,BANKNIFTY,37991.0,5m
15,2022-04-22T11:20:00,36392.1016,2022-04-22T12:35:00,36370.8008,aligned,bearish,LH_LL,0.909,48.72,trend_aligned,sell,short_bias,trailed,36445.6992,BANKNIFTY,36284.9064,5m
15,2022-04-25T11:15:00,36117.3984,2022-04-25T12:30:00,36029.1484,aligned,bearish,LH_LL,1.075,116.79,trend_aligned,sell,short_bias,trailed,36226.0508,BANKNIFTY,35900.0936,5m
3,2022-04-25T12:55:00,36076.8984,2022-04-25T13:10:00,36169.8984,aligned,bearish,LH_LL,-0.4,-37.2,trend_aligned,sell,short_bias,stopped,36169.8984,BANKNIFTY,35890.8984,5m
583,2022-04-30T12:00:00,36700.6484,2022-05-12T11:15:00,33720.1992,aligned,bullish,HH_HL,-0.4,-1192.18,trend_aligned,buy,long_bias,stopped,33720.1992,BANKNIFTY,42661.54679999999,5m
