bars_held,entry_at,entry_price,exit_at,exit_price,higher_timeframe_agreement,higher_timeframe_bias,market_structure,r_multiple,realized_pnl,regime,side,stance,status,stop_loss,symbol,target,timeframe
7,2019-01-03T13:25:00,10715.5,2019-01-03T14:00:00,10701.2,aligned,bearish,LH_LL,0.771,13.73,trend_aligned,sell,short_bias,trailed,10733.2999,NIFTY,10679.9002,5m
18,2019-01-04T09:25:00,10704.7,2019-01-04T10:55:00,10655.1,aligned,bearish,LH_LL,1.257,30.91,trend_aligned,sell,short_bias,trailed,10729.2999,NIFTY,10655.500200000002,5m
13,2019-01-04T11:20:00,10681.3999,2019-01-04T12:25:00,10699.0,aligned,bearish,LH_LL,-0.4,-7.04,trend_aligned,sell,short_bias,stopped,10699.0,NIFTY,10646.199700000001,5m
20,2019-01-04T12:55:00,10716.6,2019-01-04T14:35:00,10699.2,aligned,bearish,LH_LL,0.735,17.94,trend_aligned,sell,short_bias,trailed,10741.0,NIFTY,10667.800000000001,5m
13,2019-01-11T13:10:00,10770.2999,2019-01-11T14:15:00,10760.8999,aligned,bearish,LH_LL,0.645,12.45,trend_aligned,sell,short_bias,trailed,10789.6,NIFTY,10731.6997,5m
9,2019-01-11T15:15:00,10792.7,2019-01-14T09:45:00,10747.0,aligned,bearish,LH_LL,1.477,26.29,trend_aligned,sell,short_bias,trailed,10810.5,NIFTY,10757.100000000002,5m
17,2019-01-14T10:55:00,10727.8999,2019-01-14T12:20:00,10704.2,aligned,bearish,LH_LL,0.802,21.58,trend_aligned,sell,short_bias,trailed,10754.7999,NIFTY,10674.099900000001,5m
10,2019-01-14T12:50:00,10707.8999,2019-01-14T13:40:00,10721.5,aligned,bearish,LH_LL,-0.4,-5.44,trend_aligned,sell,short_bias,stopped,10721.5,NIFTY,10680.699700000001,5m
1,2019-01-14T14:05:00,10721.0,2019-01-14T14:10:00,10728.7999,aligned,bearish,LH_LL,-0.4,-3.12,trend_aligned,sell,short_bias,stopped,10728.7999,NIFTY,10705.4002,5m
5,2019-01-14T14:35:00,10728.5,2019-01-14T15:00:00,10735.7999,aligned,bearish,LH_LL,-0.4,-2.92,trend_aligned,sell,short_bias,stopped,10735.7999,NIFTY,10713.9002,5m
30,2019-01-15T12:15:00,10844.7,2019-01-15T14:45:00,10853.8999,aligned,bullish,HH_HL,0.625,13.13,trend_aligned,buy,long_bias,trailed,10823.7,NIFTY,10886.7,5m
31,2019-01-16T10:25:00,10901.7999,2019-01-16T13:00:00,10915.7,aligned,bullish,HH_HL,0.66,17.49,trend_aligned,buy,long_bias,trailed,10875.2999,NIFTY,10954.7999,5m
2,2019-01-16T13:25:00,10912.5,2019-01-16T13:35:00,10902.0,aligned,bullish,HH_HL,-0.4,-4.2,trend_aligned,buy,long_bias,stopped,10902.0,NIFTY,10933.5,5m
8,2019-01-16T14:10:00,10889.8999,2019-01-16T14:50:00,10892.3999,aligned,bullish,HH_HL,0.527,6.9,trend_aligned,buy,long_bias,trailed,10876.7999,NIFTY,10916.099900000001,5m
