bars_held,entry_at,entry_price,exit_at,exit_price,higher_timeframe_agreement,higher_timeframe_bias,market_structure,r_multiple,realized_pnl,regime,side,stance,status,stop_loss,symbol,target,timeframe
6,2019-01-03T13:25:00,10715.5,2019-01-03T13:55:00,10700.8999,aligned,bearish,LH_LL,0.91,16.2,trend_aligned,sell,short_bias,trailed,10733.2999,NIFTY,10679.9002,5m
14,2019-01-04T09:25:00,10704.7,2019-01-04T10:35:00,10651.0,aligned,bearish,LH_LL,1.591,39.15,trend_aligned,sell,short_bias,trailed,10729.2999,NIFTY,10655.500200000002,5m
19,2019-01-04T11:00:00,10678.2,2019-01-04T12:35:00,10718.7999,aligned,bearish,LH_LL,-0.5,-20.3,trend_aligned,sell,short_bias,stopped,10718.7999,NIFTY,10597.000200000002,5m
18,2019-01-04T13:00:00,10722.2999,2019-01-04T14:30:00,10696.2999,aligned,bearish,LH_LL,1.195,22.35,trend_aligned,sell,short_bias,trailed,10741.0,NIFTY,10684.8997,5m
12,2019-01-11T13:10:00,10770.2999,2019-01-11T14:10:00,10758.3999,aligned,bearish,LH_LL,0.808,15.6,trend_aligned,sell,short_bias,trailed,10789.6,NIFTY,10731.6997,5m
8,2019-01-11T15:15:00,10792.7,2019-01-14T09:40:00,10742.3999,aligned,bearish,LH_LL,1.913,34.05,trend_aligned,sell,short_bias,trailed,10810.5,NIFTY,10757.100000000002,5m
16,2019-01-14T10:55:00,10727.8999,2019-01-14T12:15:00,10703.6,aligned,bearish,LH_LL,0.952,25.6,trend_aligned,sell,short_bias,trailed,10754.7999,NIFTY,10674.099900000001,5m
12,2019-01-14T12:40:00,10707.2999,2019-01-14T13:40:00,10728.7999,aligned,bearish,LH_LL,-0.5,-10.75,trend_aligned,sell,short_bias,stopped,10728.7999,NIFTY,10664.2999,5m
1,2019-01-14T14:05:00,10721.0,2019-01-14T14:10:00,10728.7999,aligned,bearish,LH_LL,-0.5,-3.9,trend_aligned,sell,short_bias,stopped,10728.7999,NIFTY,10705.4002,5m
5,2019-01-14T14:35:00,10728.5,2019-01-14T15:00:00,10735.7999,aligned,bearish,LH_LL,-0.5,-3.65,trend_aligned,sell,short_bias,stopped,10735.7999,NIFTY,10713.9002,5m
30,2019-01-15T12:15:00,10844.7,2019-01-15T14:45:00,10854.2,aligned,bullish,HH_HL,0.726,15.25,trend_aligned,buy,long_bias,trailed,10823.7,NIFTY,10886.7,5m
62,2019-01-16T10:25:00,10901.7999,2019-01-17T09:20:00,10917.0,aligned,bullish,HH_HL,0.787,20.85,trend_aligned,buy,long_bias,trailed,10875.2999,NIFTY,10954.7999,5m
9,2019-01-17T09:45:00,10903.5,2019-01-17T10:30:00,10914.7,aligned,bullish,HH_HL,0.771,15.95,trend_aligned,buy,long_bias,trailed,10882.7999,NIFTY,10944.9002,5m
6,2019-01-17T10:55:00,10908.3999,2019-01-17T11:25:00,10914.5,aligned,bullish,HH_HL,0.843,7.5,trend_aligned,buy,long_bias,trailed,10899.5,NIFTY,10926.199700000001,5m
2,2019-01-17T11:50:00,10907.7,2019-01-17T12:00:00,10900.7,aligned,bullish,HH_HL,-0.5,-3.5,trend_aligned,buy,long_bias,stopped,10900.7,NIFTY,10921.7,5m
5,2019-01-17T12:35:00,10896.2,2019-01-17T13:00:00,10887.3999,aligned,bullish,HH_HL,-0.5,-4.4,trend_aligned,buy,long_bias,stopped,10887.3999,NIFTY,10913.800200000001,5m
89,2019-01-17T15:15:00,10896.7999,2019-01-21T10:10:00,10966.8999,aligned,bullish,HH_HL,1.171,61.15,trend_aligned,buy,long_bias,trailed,10844.6,NIFTY,11001.1997,5m
51,2019-01-21T11:15:00,10965.0,2019-01-22T09:15:00,10937.7,aligned,bullish,HH_HL,-0.5,-13.65,trend_aligned,buy,long_bias,stopped,10937.7,NIFTY,11019.599999999999,5m
58,2019-01-23T09:35:00,10918.2999,2019-01-23T14:25:00,10891.2999,aligned,bullish,HH_HL,-0.5,-13.5,trend_aligned,buy,long_bias,stopped,10891.2999,NIFTY,10972.2999,5m
68,2019-01-24T09:50:00,10834.2,2019-01-25T09:15:00,10890.7999,aligned,bearish,LH_LL,-0.5,-28.3,trend_aligned,sell,short_bias,stopped,10890.7999,NIFTY,10721.000200000002,5m
4,2019-01-25T10:55:00,10914.7,2019-01-25T11:15:00,10904.7999,aligned,bullish,HH_HL,-0.5,-4.95,trend_aligned,buy,long_bias,stopped,10904.7999,NIFTY,10934.500200000002,5m
